text,immoral
얘 와맆에 곰돌이가 에어본 시키는 거 생겼던데 여기에도 생기나,0
자기고향 찾아오네,0
몇달만의 고향이냐,0
점멸 있을 때 한정 1티어,0
스킬 사거리 표시 없이 하면 암걸리는 챔,0
애니한테 페깅 당하고 싶다,1
자추박고 베댓 77ㅓ억,0
"15킬 올라프가 우리에게 달려드는 순간, 그날 인류는 떠올렸다.",0
카밀궁은 올라프 궁으로 풀 수없다. 그런데.. 꼭 풀어야 할까? 라고 했던 올라프 장인 댓글이 잊혀지지 않는다...,0
전형적인 상남자 호소인챔,0
탑의 다크나이트 올라프는 오늘도 좆삐와 개트록스를 족치기위해 탑으로 떠납니다.다크나이트가 아니라 걍 이새끼가 다크 아니냐? ㅋㅋㅋㅋ,1
상남자는 염병 ㅋㅋ 궁키고 e랑 평타만 쳐도 안죽고 상대 다 썰리는 역겨운 새끼,1
세트가 얘 잡고 궁쓸때 이새끼가 궁으로 빠져나와서 세트 지혼자 땅바닥에 쳐박은게 ㄹㅇ 웃음벨임ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
정글 5티어 탑 0티어 텔든 올라프만 로딩창에 보여도 전 라인이 오줌을 지렸던 그때가 그립다,0
올라프하는 애들 사고 회로1.박는다2.딴다,0
어쩔 트런들,0
카밀궁은 올라프 궁으로 풀 수없다. 그런데.. 꼭 풀어야 할까? 라고 했던 올라프 장인 댓글이 잊혀지지 않는다...모데의 궁도 풀 수 있지만 풀지 않는 것과 같은 이치이지요,0
정말 라인전에만 모든걸 걸고싶다면 유성 주문작열들고 도끼던지면서 킬각보면 됨 대신 고추 떼셈???: 칭키즈칸 동시대에 공룡이 어쩌구 .. 저쩌구,0
버티깃☆,0
아니 ㅅ팔 ㅋㅋㅋㅋ 동성장에 풀피 다이브가 되는 건 뭔 ㅁㅊ놈이냐? 이게 챔프노?,1
유성은 사나이의 룬이다.공룡을 멸종시킨 사나이,0
얘 날먹이란 사람들은 다리우스란 챔프를 안해봤나 다리는 원거리로 카이팅이라도 돼지 얘는 안됌 걍 무지성 궁키고 유체화면 봇듀 같이 있어도 원딜 잡음아 맞다 궁ㅋㅋㅋㅋㅋㅋ,0
얘 날먹이란 사람들은 다리우스란 챔프를 안해봤나다리는 원거리로 카이팅이라도 돼지 얘는 안됌 걍 무지성 궁키고 유체화면 봇듀 같이 있어도 원딜 잡음,0
도끼 최소 사거리 0으로 만들어줬으면,0
올라프는 점화 유체화가 개꿀잼임,0
도끼맞은건 상대인데 지가 화내는 새끼,0
아니 시발 이새끼 고정딜좀 처 없에라고,1
아레나에서 올라프하면 솔방울탄에 면역이 되는게 정상인데 아레나 올라프에서는 솔방울탄이 타진다 그것 때문에 궁 유지가 안된다,0
올라프 상대로 라인 절반을 넘는다->킬각올라프 상대로 포탑에 미니언이 박힌다->킬각올라프가 상대로 나온다->킬각올라프 상대로 갱을 부른다->더블킬 그냥 올라프는 필밴하도록 하자. 아니면 초반에 어떻게든 버틸 수 있고 기동력이 좋은 카밀을 하자,0
한 3년 전이었나 올라프로 올릴 템이 없어서 3코어로 기맹 구원 가던 시절이 있었지ㅋㅋㅋ,0
올라프 상대로 라인 밀면 좆됨. 니가 점화 든 맞다이 강캐가 아닌 이상 라인 반 넘어가면 큐 맞고 바로 킬각 잡힌다.큐 무한 슬로우에 궁 무한 저지불가라 어지간한 애들은 도망가지도 못함.,0
3가지 유형이 있음도끼 맞추면 킬각도끼 던진 순간 킬각눈 보이면 킬각원거리근거리티모,0
올라프 레넥 누가유리함?적쪽,0
올라프 레넥 누가유리함?라인 당기는쪽,0
우와우~ 니 엄마다!,1
"라인에 선다는 것은 곧 솔킬이요, 적들의 지원은 곧 더블킬이다.적들의 돌진은 나의 그랩이요, 적들의 그랩은 곧 나의 돌진이다.자르반과 카밀의 궁은 콜로세움이요, 모데카이저의 궁극기는 그저 한낱 신을 모방하는 애송이의 농간에 불과하다.본신이 뒤로 빠지는 것은 곧 자비요, 그 선을 넘으면 멸일지니 사내의 전진을 막는 자는 곧, 싸늘한 시체로 남을 것이다.본신은 네놈들이 섬기는 그 신 마저 두려움에 떠는 신살자 일지니, 우러러보라.",0
올라프 형... 왜 3티어 됐어...ㅠㅠ,0
아트 다리 피오라 카밀 잭스 이런 엄뒤련들 올라프로 다 ㅈ팰수있음,1
잭스보단 덜하지만 얘도 리워크 왜했는지 모르겠는 부류원래도 잘만 쓰고 있었는데 뜬금없이 도끼에 방관 쳐달아놓고 조건부 무한 저지 불가는 어떤 새끼 대가리에서 나온 발상인지 아직도 궁금함 초반 챔프인데 후반 밸류 높이는 패치를 왜하는건지 모르겠음,1
상남자챔 X 무지성 날먹챔 O,0
1티어 1등 머노,0
탑:카밀정글:자르반미드:갈1리오,0
갑자기 1티어??,0
허허 나때는 말이야 우물에 있는 5명한테 Q날리면 펜타킬이 나왔었단다,0
나만이거 개쓰레기임? 얘할바에 좋은 메이지랑 탱커가 너무 많은데.. 이거 버프좀 해라 50만점 숙련도 쌓을정도로 애정있는 챔프인데 얘 요즘 너무 구려서 안하게됨,0
얘 기원자 덱에서 가고일들고 원탱조지면 쎄던데,0
얘 진심 E플까지는 되게 해줘도 괜찮지 않을까W플은 개에바고,0
퇴물,0
"메타에 너무 뒤떨어진챔.....원랜 초반 라클을 강점으로 초반 강력한깡뎀으로 초반 교전 찢어놓고 굴리는챔인데 요새는 초반에 아무리 잘 굴려도 킬 주서먹은 원딜이 2~3번만 짤리면 겜이 쉽게 넘어가서 얘의 장점이 약해짐",0
"진짜 포골,옵젝골드 이거 생기고 난뒤로 1티어 공무원에서 실직한 개백수가 되어버림....",0
"라클이 강점인데 스테틱이 말도 안되는 성능으로 나와버려서 장점이 또 하나 사라짐....ㅋㅋ",0
"직접적인 성능 너프는 없었지만 메타에 뒤쳐지고ㅠ간접적인 너프를 너무 많이 먹었음...",0
쉔은 도발플 되고 파이크도 e플 되는데 얘는 안될이유가 머있냐 w플 안될것 같으면 e플이라도 하게 해줘라,0
얘 라인전은 개쌤,0
안녕 친구들!!!,0
애 할바엔 쉔하지 궁 사거리도 쉔이 압도하고 그냥 보호막 주면 될것을 마법보호막을 준다고 하네.하지만 1티어죠?,0
시ㅣㅣㅣㅣ1ㅂ 꿈인가? 1티어?,1
뭐여 1티어네?,0
